station_id,SiteName,SiteEngName,AreaName,County,Township,SiteAddress,TWD97Lon,TWD97Lat,SiteType
EPA001,基隆,Keelung,北部空品區,基隆市,信義區,基隆市信義區東信路324號,121.7601,25.1292,一般測站
EPA002,汐止,Xizhi,北部空品區,新北市,汐止區,新北市汐止區樟樹一路137巷26號,121.6408,25.0657,一般測站
EPA003,萬里,Wanli,北部空品區,新北市,萬里區,新北市萬里區瑪鋉路221號,121.6899,25.1797,一般測站
EPA004,新店,Xindian,北部空品區,新北市,新店區,新北市新店區民族路108號,121.5378,24.9772,一般測站
EPA005,土城,Tucheng,北部空品區,新北市,土城區,新北市土城區學府路1段241號,121.4519,24.9825,一般測站
EPA006,板橋,Banqiao,北部空品區,新北市,板橋區,新北市板橋區文化路1段25號,121.4587,25.0130,一般測站
EPA007,新莊,Xinzhuang,北部空品區,新北市,新莊區,新北市新莊區中正路510號,121.4325,25.0380,一般測站
EPA008,菜寮,Cailiao,北部空品區,新北市,三重區,新北市三重區中正北路163號,121.4810,25.0690,一般測站
EPA009,林口,Linkou,北部空品區,新北市,林口區,新北市林口區文化北路1段425號,121.3657,25.0786,一般測站
EPA010,淡水,Tamsui,北部空品區,新北市,淡水區,新北市淡水區中正東路42巷6號,121.4492,25.1645,一般測站
EPA011,士林,Shilin,北部空品區,臺北市,北投區,臺北市北投區文林北路155號,121.5145,25.1059,一般測站
EPA012,中山,Zhongshan,北部空品區,臺北市,中山區,臺北市中山區林森北路511號,121.5265,25.0624,一般測站
EPA013,萬華,Wanhua,北部空品區,臺北市,萬華區,臺北市萬華區中華路1段66號,121.5080,25.0465,一般測站
EPA014,古亭,Guting,北部空品區,臺北市,大安區,臺北市大安區羅斯福路3段201號,121.5296,25.0206,一般測站
EPA015,松山,Songshan,北部空品區,臺北市,松山區,臺北市松山區八德路4段746號,121.5786,25.0500,一般測站
EPA016,大同,Datong,北部空品區,臺北市,大同區,臺北市大同區重慶北路3段2號,121.5133,25.0632,交通測站
EPA017,桃園,Taoyuan,北部空品區,桃園市,桃園區,桃園市桃園區莒光街15號,121.3044,24.9957,一般測站
EPA018,大園,Dayuan,北部空品區,桃園市,大園區,桃園市大園區中正東路160號,121.2018,25.0603,一般測站
EPA019,觀音,Guanyin,北部空品區,桃園市,觀音區,桃園市觀音區文化路2號,121.0828,25.0355,背景測站
EPA020,平鎮,Pingzhen,北部空品區,桃園市,平鎮區,桃園市平鎮區復興街55號,121.2050,24.9542,一般測站
EPA021,龍潭,Longtan,北部空品區,桃園市,龍潭區,桃園市龍潭區中正路210號,121.2164,24.8639,一般測站
EPA022,湖口,Hukou,竹苗空品區,新竹縣,湖口鄉,新竹縣湖口鄉成功路360號,121.0387,24.9001,一般測站
EPA023,竹東,Zhudong,竹苗空品區,新竹縣,竹東鎮,新竹縣竹東鎮榮樂里三民街70號,121.0889,24.7406,一般測站
EPA024,新竹,Hsinchu,竹苗空品區,新竹市,東區,新竹市東區民族路33號,120.9721,24.8056,一般測站
EPA025,頭份,Toufen,竹苗空品區,苗栗縣,頭份鎮,苗栗縣頭份市文化街20號,120.8986,24.6970,工業測站
