SiteName,TWD97Lon,TWD97Lat
基隆,121.7601,25.1292
汐止,121.6408,25.0657
萬里,121.6899,25.1797
新店,121.5378,24.9772
土城,121.4519,24.9825
板橋,121.4587,25.013
新莊,121.4325,25.038
菜寮,121.481,25.069
林口,121.3657,25.0786
淡水,121.4492,25.1645
士林,121.5145,25.1059
中山,121.5265,25.0624
萬華,121.508,25.0465
古亭,121.5296,25.0206
松山,121.5786,25.05
大同,121.5133,25.0632
桃園,121.3044,24.9957
大園,121.2018,25.0603
觀音,121.0828,25.0355
平鎮,121.205,24.9542
龍潭,121.2164,24.8639
湖口,121.0387,24.9001
竹東,121.0889,24.7406
新竹,120.9721,24.8056
頭份,120.8986,24.697
苗栗,120.8202,24.5653
三義,120.7588,24.3829
豐原,120.7417,24.2566
沙鹿,120.5688,24.2256
大里,120.6777,24.0996
忠明,120.6411,24.152
西屯,120.6169,24.1622
彰化,120.5415,24.066
線西,120.4691,24.1317
二林,120.4097,23.9252
南投,120.6853,23.913
斗六,120.545,23.7119
崙背,120.3487,23.7575
新港,120.3455,23.5548
朴子,120.2474,23.4653
臺西,120.2028,23.7175
嘉義,120.4408,23.4628
新營,120.3173,23.3056
善化,120.2971,23.1151
安南,120.2183,23.0483
臺南,120.2026,22.9846
美濃,120.5305,22.8836
橋頭,120.3057,22.7575
仁武,120.3326,22.6891
鳳山,120.3581,22.6274
大寮,120.4253,22.5641
林園,120.4118,22.4795
楠梓,120.3283,22.7337
左營,120.2929,22.6749
前金,120.2881,22.6326
前鎮,120.3076,22.6054
小港,120.3377,22.5658
屏東,120.488,22.6731
潮州,120.5612,22.5231
恆春,120.7889,21.9581
臺東,121.1505,22.7554
花蓮,121.5998,23.9713
陽明,121.5296,25.1827
宜蘭,121.7464,24.7479
冬山,121.7929,24.6322
三重,121.4938,25.0726
中壢,121.2217,24.9533
竹山,120.6773,23.7564
永和,121.5163,25.017
復興,120.312,22.6087
埔里,120.9679,23.9688
富貴角,121.538,25.2974
關山,121.1619,23.0451
金門,118.3123,24.4321
馬祖,119.9525,26.1536
馬公,119.5662,23.569
麥寮,120.2518,23.7535
